created_at,text
2025-06-20 10:15:00,"I love the new features of the iPhone 15! Great job, Apple! #iPhone15"
2025-06-20 11:30:00,Battery life on this phone is terrible... #iPhone15
2025-06-21 09:45:00,Can't wait to try the new camera on iPhone 15 😍📱
2025-06-21 13:20:00,Disappointed with the pricing of iPhone 15. Too expensive. #apple
2025-06-22 15:00:00,Absolutely amazing design and performance! #iPhone15
2025-06-22 18:10:00,Worst iPhone ever. Nothing new. Overrated. #fail
2025-06-23 10:05:00,"Good improvements, but not worth the upgrade from iPhone 14. #meh"
2025-06-23 12:00:00,Apple nailed it this time. Super fast and slick UI. #iPhone15
2025-06-24 08:55:00,Why do they keep removing features? Headphone jack gone again?? 😒
2025-06-24 14:30:00,"iPhone 15 is the best phone of 2025, hands down. 💯🔥"
